Country;ISO3;Year;Rank;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Micronesia; Fed. Sts.;2022;81st;71;3,4;5,6;3,7;8,8;6,8;8,7;4,4;6,5;3,5;6,1;3,9;9,6
El Salvador;#N/D;2022;82nd;70,8;6,3;4,8;5,6;5,6;5,1;8,4;4,9;6,5;5,6;7,1;5,6;5,3
Sao Tome and Principe;STP;2022;83rd;70,4;4,4;6,3;4,2;8,6;6,5;7,6;4,1;6,5;2,7;7;4,9;7,6
Mexico;MEX;2022;84th;70,3;8,6;5,9;6,4;4,5;5,4;4,6;6;6,6;5,5;7,2;5,3;4,3
Morocco;MAR;2022;85th;70,1;4,6;6,6;8,6;5,9;4,9;7,4;6,8;5,4;5,3;4,7;5;4,9
Thailand;THA;2022;86th;70;8,3;9,7;7;3,6;4,6;3,8;7,8;3,7;7,6;6,4;5,2;2,3
Peru;PER;2022;87th;69,8;5,8;7,4;8,3;4,3;6,1;5,9;6,9;7,1;3,7;7,9;4,4;2
Uzbekistan;UZB;2022;88th;69,6;5,9;8,8;5,7;5,1;5,6;5,1;9,2;4,3;7,6;4,5;4,1;3,7
Ecuador;#N/D;2022;89th;69,1;5,6;8,2;5,8;6;5,9;4,3;5,8;6,3;4,1;7;5,3;4,8
Fiji;FJI;2022;90th;68,9;6,2;7,9;5,4;7,8;5;7,5;5,8;4,2;5,4;4,1;2,7;6,9
Ukraine;UKR;2022;92nd;68,6;6,4;8;5,8;6,5;2,9;5,9;6,5;4,3;5,8;4,8;4,2;7,5
Tunisia;TUN;2022;93rd;68,2;7,2;7,2;7,2;7,9;4,4;5,5;6;4,7;5,4;4,6;3,2;4,9
Serbia;SRB;2022;94th;67,8;4,2;8,6;6,8;5,8;4,2;6;5,8;4,2;3,6;4,4;7,1;7,1
Saudi Arabia;SAU;2022;95th;67,5;5,4;8,5;9,3;4;4,5;3;7,8;4,1;8,4;4,6;3,5;4,4
China;#N/D;2022;98th;66,9;5,2;7,2;6,8;3,3;6;3,5;8,2;5;9,7;6,2;3,4;2,4
Gabon;GAB;2022;99th;66,7;4,5;7,7;2,9;5,9;5,7;5,1;7,8;6,7;6,4;6,7;3,1;4,2
Indonesia;IDN;2022;100th;66,6;5,5;7,1;6,8;4,2;4,5;6;4,5;6,2;6,2;7,3;4,3;4
Turkmenistan;TKM;2022;102nd;66,5;4,8;7,8;5,4;4,6;5,9;4,4;9,8;4,4;8,3;5,9;2,6;2,6
Paraguay;PRY;2022;103rd;65,4;6;7,8;4,7;4,6;7;4,7;6,7;6;5,2;6;3,2;3,5
