"","murdock_name","land_area","atlantic_number15","atlantic_number16","atlantic_number17","atlantic_number18","indian_number15","indian_number16","indian_number17","indian_number18","atlantic_all_years","indian_all_years"
"143","BUYE",78823.6981039387,0,0,0,0,1514,757,1625,2542,0,6438
"144","BWAKA",55681.5980026733,0,0,0,0,0,0,0,0,0,0
"145","CAPE HOTTENTOT",174414.295291575,0,0,0,0,0,0,0,0,0,0
"146","CHAAMBA",249703.850225171,0,0,0,0,0,0,0,0,0,0
"147","CHAGA",6514.44138404023,0,0,0,0,41,20,44,69,0,174
"148","CHAKOSSI",2145.76011664794,0,0,0,0,0,0,0,0,0,0
"149","CHAMBA",9873.77226618782,0,0,4812,6906,0,0,0,0,11718,0
"150","CHEWA",79702.5558625374,0,0,0,8955,41,20,44,69,8955,174
"151","CHIGA",4437.05248039703,0,0,0,0,0,0,0,0,0,0
"152","CHOKWE",223137.554370579,0,0,0,590,0,0,0,0,590,0
"153","CHOPI",12987.0463314603,0,0,0,16358,0,0,0,0,16358,0
"154","CHUABO",46959.7221480023,0,0,0,779,0,0,0,0,779,0
"155","COMORIANS",2063.37833793214,0,0,0,0,0,0,0,0,0,0
"156","CYRENAICANS",17873.1216602711,0,0,0,0,0,0,0,0,0,0
"157","DAFI",6393.60188984168,0,0,0,235,0,0,0,0,235,0
"158","DAGARI",7768.96324453046,0,0,0,2324,0,0,0,0,2324,0
"159","DAGOMBA",21275.4472034744,0,0,1459,0,0,0,0,0,1459,0
"160","DAGU",11989.7848008136,0,0,0,0,0,0,0,0,0,0
"161","DAKA",2301.48644268604,0,0,0,0,0,0,0,0,0,0
"162","DAKHLA",24148.0104936735,0,0,0,0,0,0,0,0,0,0
"163","DAMA",3197.40182924518,0,0,0,0,0,0,0,0,0,0
"164","DAN",9768.25913022725,0,0,273,40,0,0,0,0,313,0
"165","DARASA",10078.6233490869,0,0,0,0,0,0,0,0,0,0
"166","DARI",6159.27765672993,0,0,0,0,0,0,0,0,0,0
"167","DAZA",177194.993544675,0,0,0,0,0,0,0,0,0,0
"168","DEFORO",4904.49883374883,0,0,0,0,0,0,0,0,0,0
"169","DEKAKIRI",7075.42535418676,0,0,0,0,0,0,0,0,0,0
"170","DELIM",116931.016315652,0,0,0,0,0,0,0,0,0,0
"171","DENDI",5578.60972297031,0,0,0,0,0,0,0,0,0,0
"172","DERA",1508.54356796895,0,0,0,0,0,0,0,0,0,0
"173","DIALONKE",20139.5695548177,0,0,0,0,0,0,0,0,0,0
"174","DIAN",2271.32286713376,0,0,0,157,0,0,0,0,157,0
"175","DIDA",16252.2619905711,0,0,0,0,0,0,0,0,0,0
"176","DIDINGA",9279.6676725616,0,0,0,0,0,0,0,0,0,0
"177","DIGO",5537.61783755083,0,0,0,0,2046,1023,2196,3435,0,8700
"178","DILLING",15406.166261112,0,0,0,0,0,0,0,0,0,0
"179","DINKA",147579.261162361,0,0,0,0,0,0,0,0,0,0
"180","DIOLA",8564.66291542805,0,0,352,121,0,0,0,0,473,0
"181","DIULA",5126.53568163081,0,0,0,0,0,0,0,0,0,0
"182","DOGON",25268.396040704,0,0,0,0,0,0,0,0,0,0
"183","DOROBO",3973.19430789561,0,0,0,0,0,0,0,0,0,0
"184","DOROSIE",4620.27009256046,0,0,0,0,0,0,0,0,0,0
"185","DRAWA",14713.3292949103,0,0,0,0,0,0,0,0,0,0
"186","DUAISH",64875.4649873431,0,0,0,6,0,0,0,0,6,0
"187","DUALA",6022.19453597787,0,0,0,5417,0,0,0,0,5417,0
"188","DUI-MENIA",55764.4892314715,0,0,0,0,0,0,0,0,0,0
"189","DUMA",58343.8550494714,0,0,0,1112,0,0,0,0,1112,0
"190","DURU",10952.8149063654,0,0,0,0,0,0,0,0,0,0
"191","DURUMA",2439.36084612515,0,0,0,0,266,133,286,447,0,1132
"192","DZEM",62028.5482920589,0,0,0,0,0,0,0,0,0,0
"193","DZING",11319.0699299367,0,0,0,0,0,0,0,0,0,0
"194","EBRIE",3271.47664572271,0,0,0,36,0,0,0,0,36,0
"195","EDO",14683.090248459,0,0,10389,2308,0,0,0,0,12697,0
"196","EGBA",28566.5834468346,0,0,0,47,0,0,0,0,47,0
"197","EGEDE",1494.39419432159,0,0,0,0,0,0,0,0,0,0
"198","EGYPTIANS",125518.972114981,0,0,0,0,0,0,0,0,0,0
"199","EKITI",22407.6597374339,0,0,0,0,0,0,0,0,0,0
"200","EKOI",6749.45793571831,0,0,392,1100,0,0,0,0,1492,0
"201","EKONDA",66480.4687977313,0,0,0,118,0,0,0,0,118,0
"202","ESA",45075.5163713685,0,0,0,0,0,0,0,0,0,0
"203","EWE",15942.6776950385,12,60342,494825,45903,0,0,0,0,601082,0
"204","FAJULU",15329.3092620056,0,0,0,0,0,0,0,0,0,0
"205","FALI",3067.22519933944,0,0,0,0,0,0,0,0,0,0
"206","FANG",169050.635294606,0,0,1619,241,0,0,0,0,1860,0
"207","FANG (Cameroon only)",NA,232,5937,0,0,0,0,0,0,6169,0
"208","FANTI",6280.30234291788,0,0,20428,1057,0,0,0,0,21485,0
"209","FANYAN",7330.92050833951,0,0,0,0,0,0,0,0,0,0
"210","FERTIT",16877.8654869334,0,0,0,0,0,0,0,0,0,0
"211","FEZARA",58789.3546891315,0,0,0,0,0,0,0,0,0,0
"212","FEZZAN",144277.970241404,0,0,0,0,0,0,0,0,0,0
"213","FIA",6711.65639538388,0,0,0,188,0,0,0,0,188,0
"214","FIGIG",13189.2360540136,0,0,0,0,0,0,0,0,0,0
"215","FILALA",17226.9804411289,0,0,0,0,0,0,0,0,0,0
"216","FIPA",13914.9805696402,0,0,0,0,532,266,571,893,0,2262
"217","FON",22676.3582542956,17,85828,703823,65290,0,0,0,0,854958,0
"218","FOUTADJALON",74029.517415407,496,121,9057,18462,0,0,0,0,28136,0
"219","FOUTATORO",52548.7276646043,0,0,26995,1750,0,0,0,0,28745,0
"220","FUNGON",4257.42408175307,0,0,0,0,0,0,0,0,0,0
"221","FUR",56093.4585329168,0,0,0,0,0,0,0,0,0,0
"222","FUT",1628.44273090906,0,0,0,94,0,0,0,0,94,0
"223","GA",1680.91092604711,0,0,0,0,0,0,0,0,0,0
"224","GAALIIN",59193.709005957,0,0,0,0,0,0,0,0,0,0
"225","GABERI",9968.11751626346,0,0,0,0,0,0,0,0,0,0
"226","GADAMES",8773.23212337086,0,0,0,0,0,0,0,0,0,0
"227","GAFSA",3516.71533051457,0,0,0,0,0,0,0,0,0,0
"228","GAGU",3025.61457302601,0,0,0,0,0,0,0,0,0,0
"229","GALIM",1553.71647234986,0,0,0,0,0,0,0,0,0,0
"230","GAN",3023.75602683871,0,0,0,0,0,0,0,0,0,0
"231","GANDA",43291.2783837598,0,0,0,877,818,409,878,1374,877,3479
"232","GBANDE",7212.4060685878,0,0,0,57,0,0,0,0,57,0
"233","GBARI",30784.9118018196,0,0,980,415,0,0,0,0,1395,0
"234","GERAWA",10250.9574035871,0,0,0,0,0,0,0,0,0,0
"235","GERI",9841.30962502735,0,0,0,0,0,0,0,0,0,0
"236","GIBE",14628.9280457413,0,0,0,0,0,0,0,0,0,0
"237","GIL",40388.4088375631,0,0,0,0,0,0,0,0,0,0
"238","GILI",1918.39547078467,0,0,0,0,0,0,0,0,0,0
"239","GIMIRA",7779.25792264753,0,0,0,0,0,0,0,0,0,0
"240","GIMMA",20966.0452600912,0,0,0,0,0,0,0,0,0,0
"241","GIRYAMA",NA,0,0,0,0,184,92,198,309,0,783
"242","GISIGA",5800.10287057858,0,0,0,0,0,0,0,0,0,0
"243","GISU",3714.04169800798,0,0,0,0,0,0,0,0,0,0
"244","GOBU",8932.22460961607,0,0,0,0,0,0,0,0,0,0
"245","GOGO",33340.36831853,0,0,0,0,532,266,571,893,0,2262
"246","GOLA",8882.86500659377,0,0,544,1371,0,0,0,0,1915,0
"247","GOMANI",10401.3412161094,0,0,0,0,0,0,0,0,0,0
"248","GOROA",3783.84367403119,0,0,0,0,0,0,0,0,0,0
"249","GOSHA",4179.28648692445,0,0,0,0,0,0,0,0,0,0
"250","GREBO",10111.0126707423,0,0,0,0,0,0,0,0,0,0
"251","GRUNSHI",13593.7366656263,0,0,0,1191,0,0,0,0,1191,0
"252","GUANCHE",7508.77047870608,0,0,0,0,0,0,0,0,0,0
"253","GUANG",32701.410087382,0,0,106516,0,0,0,0,0,106516,0
"254","GUDE",5074.8652233616,0,0,12236,377,0,0,0,0,12613,0
"255","GUIN",5493.40763892523,0,0,0,0,0,0,0,0,0,0
