PAIS;ISO3;2021_pop
United Kingdom;GBR;67326569
United States;USA;331893745
Upper middle income;UMC;2501427939
Uruguay;URY;3485152
Uzbekistan;UZB;34915100
Vanuatu;VUT;314464
Venezuela; RB;28435943
Vietnam;VNM;98168829
Virgin Islands (U.S.);VIR;105870
West Bank and Gaza;PSE;4922749
World;WLD;7836630792
Yemen; Rep.;29825968
Zambia;ZMB;18920657
Zimbabwe;ZWE;15092171
