TRIBE,TRIBE_CODE,LAT,LON,COUNTRY,ISO3,TOTAL_ATLANTIC,TOTAL_INDIAN
IWA,"307","-9.46866000000","32.51890000000",Zambia,ZMB,"0","0"
IYALA,"308","6.89215302351","8.53769098408",Nigeria,NGA,"18","0"
JALO,"309","28.97270000000","21.26120000000",Libya,LBY,"0","0"
JANJERO,"310","7.80973439245","37.48790000000",Ethiopia,ETH,"0","0"
JARAWA,"311","10.09980000000","9.56061527878",Nigeria,NGA,"18","0"
JEBALA,"312","34.85060000000","-5.28036000000",Morocco,MAR,"0","0"
JEN,"313","9.71420299496","11.67020000000",Nigeria,NGA,"72","0"
"JERAWA, CHAWAI (SW)","314","10.20130000000","8.87632211939",Nigeria,NGA,"196","0"
JERBA,"315","33.79350000000","10.86410000000",Tunisia,TUN,"0","0"
JERID,"316","33.89220000000","8.40782070662",Tunisia,TUN,"0","0"
JIBU,"317","7.77658283782","11.29550000000",Nigeria,NGA,"0","0"
JIE,"318","3.41288071305","34.13710000000",Uganda,UGA,"0","0"
JOFRA,"319","28.82240000000","16.53910000000",Libya,LBY,"0","0"
JUKUN,"320","8.59694169650","10.58700000000",Nigeria,NGA,"162","0"
JUR,"321","8.07882877122","28.04260000000",South Sudan,SSD,"0","0"
KABABISH,"322","16.68410000000","29.44690000000",Sudan,SDN,"0","0"
KABRE,"323","9.81906183486","1.22542193478",Togo,TGO,"406","0"
KABYLE,"324","36.54950000000","4.30706393488",Algeria,DZA,"0","0"
KADARA,"325","9.99369046905","7.74890847706",Nigeria,NGA,"196","0"
KAFA,"326","7.38553965795","36.10440000000",Ethiopia,ETH,"0","0"
KAGORO,"327","14.13900000000","-8.74348000000",Mali,MLI,"0","0"
KAKA,"328","4.37608215236","14.44580000000",Central African Republic,CAF,"2259","0"
KALAI,"329","-0.83450400000","11.32780000000",Gabon,GAB,"6386","0"
KAM,"330","8.51997979274","11.02500000000",Nigeria,NGA,"0","0"
KAMBA,"331","-1.61913000000","38.16660000000",Kenya,KEN,"553","2087"
KAMBATA,"332","7.51456172364","38.00420000000",Ethiopia,ETH,"0","0"
KAMBERI,"333","10.40870000000","5.49845264805",Nigeria,NGA,"270","0"
KAMIR,"334","13.17560000000","38.81920000000",Ethiopia,ETH,"0","0"
KAMUKU,"335","10.46420000000","6.38120422130",Nigeria,NGA,"18","0"
KANEMBU,"336","13.99410000000","14.43470000000",Nigeria,NGA,"28","0"
KANURI,"337","12.05100000000","12.74840000000",Nigeria,NGA,"2195","0"
KAONDE,"338","-13.03970000000","25.96850000000",Zambia,ZMB,"2814","0"
KAPSIKI,"339","10.52010000000","13.66670000000",Nigeria,NGA,"0","0"
KARA,"340","9.47461689881","22.84940000000",Central African Republic,CAF,"0","261"
KARABORO,"341","10.49140000000","-4.30928000000",Burkina Faso,BFA,"0","0"
KARAMOJONG,"342","2.34105108952","34.68730000000",Uganda,UGA,"0","0"
